OrderDate,PostalCode,State,OrderID
2024-12-05,2019,NSW,11338757702008
2024-12-05,3028,VIC,11341732348280
2024-12-06,4500,QLD,11343865610616
2024-12-07,4078,QLD,11346004771192
2024-12-08,3006,VIC,11349701656952
2024-12-08,2206,NSW,11351122411896
2024-12-09,2206,NSW,11353137086840
2024-12-09,2551,NSW,11354081886584
2024-12-10,3925,VIC,11357898473848
2024-12-10,4500,QLD,11360233324920
2025-02-20,6169,WA,11557640995192
2025-02-22,4210,QLD,11561329623416
2025-02-23,2217,NSW,11563784110456
2025-02-26,4077,QLD,11570582061432
2020-02-28,2765,NSW,AU2052357849165
2020-02-28,3175,VIC,AU2052498292813
2020-02-28,6030,WA,AU2053153718349
2020-02-28,4500,QLD,AU2053450858573
2020-02-28,3008,VIC,AU2053599199309
2020-02-28,5022,SA,AU2053718868045
2020-02-29,3141,VIC,AU2053800067149
2020-02-29,870,NT,AU2054938656845
2020-02-29,3216,VIC,AU2055248379981
2020-02-29,3060,VIC,AU2055319846989
2020-02-29,2166,NSW,AU2055588118605
2020-02-29,5093,SA,AU2055834959949
2020-02-29,3060,VIC,AU2055910195277
2020-02-29,3182,VIC,AU2055926612045
2020-02-29,3002,VIC,AU2055968915533
2020-03-01,2142,NSW,AU2056138424397
2020-03-01,2142,NSW,AU2057072115789
2020-03-01,3075,VIC,AU2057121923149
2020-03-01,2518,NSW,AU2057147973709
2020-03-01,2196,NSW,AU2057405595725
2020-03-01,2113,NSW,AU2057505439821
2020-03-01,3922,VIC,AU2057506553933
2020-03-01,3023,VIC,AU2057540042829
2020-03-01,2177,NSW,AU2057568845901
2020-03-01,3976,VIC,AU2057585426509
2020-03-02,3138,VIC,AU2058686038093
2020-03-02,2033,NSW,AU2058775461965
2020-03-02,6061,WA,AU2058978426957
2020-03-02,3099,VIC,AU2059120803917
2020-03-03,2199,NSW,AU2061037830221
2020-03-03,3207,VIC,AU2061087965261
2020-03-03,4869,QLD,AU2061115261005
2020-03-03,3844,VIC,AU2061174571085
2020-03-04,2165,NSW,AU2062560788557
2020-03-04,3057,VIC,AU2062585430093
2020-03-05,2155,NSW,AU2063700262989
2020-03-05,2161,NSW,AU2063861579853
2020-03-05,3037,VIC,AU2063994060877
2020-03-05,2285,NSW,AU2064020340813
2020-03-05,2560,NSW,AU2064209018957
2020-03-05,5000,SA,AU2064306241613
2020-03-06,4011,QLD,AU2064690085965
2020-03-06,5076,SA,AU2065311400013
2020-03-06,5022,SA,AU2065646649421
2020-03-06,3337,VIC,AU2067529203789
2020-03-07,3064,VIC,AU2070058139725
2020-03-07,2137,NSW,AU2070910042189
2020-03-07,1230,NSW,AU2070968926285
2020-03-07,4124,QLD,AU2071731863629
2020-03-07,3043,VIC,AU2073083838541
2020-03-07,2193,NSW,AU2073151668301
2020-03-07,2283,NSW,AU2073233817677
2020-03-08,2017,NSW,AU2075224506445
2020-03-08,2142,NSW,AU2076117696589
2020-03-08,2022,NSW,AU2076143550541
2020-03-08,6030,WA,AU2076216098893
2020-03-08,3977,VIC,AU2076407234637
2020-03-08,2283,NSW,AU2076656173133
2020-03-08,6015,WA,AU2076815392845
2020-03-08,4123,QLD,AU2077060300877
2020-03-08,3165,VIC,AU2077223911501
2020-03-08,2190,NSW,AU2077284859981
2020-03-08,6018,WA,AU2077731684429
2020-03-08,3752,VIC,AU2077852598349
2020-03-08,3121,VIC,AU2077885497421
2020-03-09,4224,QLD,AU2080412663885
2020-03-09,3029,VIC,AU2080854048845
2020-03-09,3044,VIC,AU2081290747981
2020-03-09,2164,NSW,AU2081431289933
2020-03-09,3042,VIC,AU2081969176653
2020-03-09,3011,VIC,AU2082058371149
2020-03-09,4170,QLD,AU2082098085965
2020-03-09,2536,NSW,AU2082578923597
2020-03-09,5095,SA,AU2082848374861
2020-03-09,4157,QLD,AU2082868559949
2020-03-09,3174,VIC,AU2083109666893
2020-03-10,6062,WA,AU2083714826317
2020-03-10,2221,NSW,AU2085323243597
2020-03-10,2527,NSW,AU2085460443213
2020-03-10,3029,VIC,AU2085580079181
2020-03-10,2161,NSW,AU2085873614925
2020-03-10,2160,NSW,AU2086318932045
2020-03-10,2680,NSW,AU2087505952845
2020-03-10,2765,NSW,AU2087557300301
2020-03-10,4350,QLD,AU2087921680461
2020-03-11,3020,VIC,AU2088180711501
2020-03-11,2017,NSW,AU2090672980045
2020-03-11,5038,SA,AU2090818732109
2020-03-11,2135,NSW,AU2091097325645
2020-03-11,2157,NSW,AU2091169448013
2020-03-11,2171,NSW,AU2091227349069
2020-03-11,4171,QLD,AU2091246649421
2020-03-11,2560,NSW,AU2091251597389
2020-03-11,3021,VIC,AU2091266867277
2020-03-11,4850,QLD,AU2091279777869
2020-03-11,4701,QLD,AU2091304058957
2020-03-12,6108,WA,AU2091640324173
2020-03-12,2456,NSW,AU2091981963341
2020-03-12,2506,NSW,AU2092235948109
2020-03-12,3183,VIC,AU2092248825933
2020-03-13,2259,NSW,AU2093805928525
2020-03-13,4227,QLD,AU2094298267725
2020-03-13,2042,NSW,AU2094634139725
2020-03-13,2199,NSW,AU2094773731405
2020-03-14,2765,NSW,AU2095282847821
2020-03-14,2300,NSW,AU2096302293069
2020-03-14,3173,VIC,AU2096357703757
2020-03-14,2089,NSW,AU2096434741325
2020-03-14,3429,VIC,AU2096487727181
2020-03-14,5095,SA,AU2096490709069
2020-03-14,5540,SA,AU2096524034125
2020-03-14,3168,VIC,AU2096677650509
2020-03-15,5038,SA,AU2097769611341
2020-03-15,4077,QLD,AU2097791795277
2020-03-15,2212,NSW,AU2097859919949
2020-03-15,3128,VIC,AU2097889968205
2020-03-15,2135,NSW,AU2097931386957
2020-03-15,2009,NSW,AU2097997807693
2020-03-16,6558,WA,AU2099265175629
2020-03-16,5169,SA,AU2099339264077
2020-03-16,2766,NSW,AU2099439566925
2020-03-16,5068,SA,AU2099551666253
2020-03-16,3182,VIC,AU2099554058317
2020-03-16,2227,NSW,AU2099597279309
2020-03-16,2372,NSW,AU2099625984077
2020-03-16,2221,NSW,AU2099656982605
2020-03-16,2518,NSW,AU2099687915597
2020-03-16,2259,NSW,AU2099722321997
2020-03-16,3030,VIC,AU2099814432845
2020-03-17,4557,QLD,AU2099962347597
2020-03-17,3015,VIC,AU2100421689421
2020-03-17,3105,VIC,AU2100441284685
2020-03-17,2176,NSW,AU2100722073677
2020-03-17,3840,VIC,AU2100747731021
2020-03-17,3041,VIC,AU2101004468301
2020-03-17,2519,NSW,AU2101007810637
2020-03-17,3458,VIC,AU2101015740493
2020-03-17,2168,NSW,AU2101058863181
2020-03-17,2519,NSW,AU2101146681421
2020-03-17,2372,NSW,AU2101176500301
2020-03-17,2155,NSW,AU2101190557773
2020-03-17,4114,QLD,AU2101202911309
2020-03-17,3145,VIC,AU2101221032013
2020-03-17,3207,VIC,AU2101226078285
2020-03-17,2082,NSW,AU2101252948045
2020-03-17,4509,QLD,AU2101281226829
2020-03-17,2217,NSW,AU2101305901133
2020-03-17,5352,SA,AU2101318615117
2020-03-18,3056,VIC,AU2101509062733
2020-03-18,2010,NSW,AU2101716811853
2020-03-18,2145,NSW,AU2101735227469
2020-03-18,2761,NSW,AU2101766357069
2020-03-18,2145,NSW,AU2101877997645
2020-03-18,6058,WA,AU2101890678861
2020-03-18,7008,TAS,AU2101909520461
2020-03-18,4300,QLD,AU2101912338509
2020-03-18,2155,NSW,AU2102026371149
2020-03-18,2768,NSW,AU2102054879309
2020-03-18,4870,QLD,AU2102129393741
2020-03-18,2777,NSW,AU2102149546061
2020-03-18,2760,NSW,AU2102201221197
2020-03-18,3977,VIC,AU2102249095245
2020-03-18,6020,WA,AU2102268330061
2020-03-18,2000,NSW,AU2102290382925
2020-03-18,2153,NSW,AU2102369222733
2020-03-18,2022,NSW,AU2102374301773
2020-03-18,3165,VIC,AU2102419816525
2020-03-18,6230,WA,AU2102440591437
2020-03-18,2011,NSW,AU2102460055629
2020-03-18,2212,NSW,AU2102471393357
2020-03-18,2760,NSW,AU2102508945485
2020-03-18,3337,VIC,AU2102523494477
2020-03-18,2190,NSW,AU2102526181453
2020-03-18,4209,QLD,AU2102533455949
2020-03-18,2018,NSW,AU2102544236621
2020-03-18,2127,NSW,AU2102545940557
2020-03-18,2505,NSW,AU2102551314509
2020-03-18,2031,NSW,AU2102578085965
2020-03-18,3500,VIC,AU2102580445261
2020-03-18,3500,VIC,AU2102584475725
2020-03-18,2142,NSW,AU2102599680077
2020-03-18,2251,NSW,AU2102600368205
2020-03-18,2500,NSW,AU2102614065229
2020-03-18,2112,NSW,AU2102618521677
2020-03-18,6061,WA,AU2102623436877
2020-03-18,2155,NSW,AU2102631399501
2020-03-18,3810,VIC,AU2102642344013
2020-03-18,6056,WA,AU2102659416141
2020-03-18,2122,NSW,AU2102686908493
2020-03-18,2753,NSW,AU2102724755533
2020-03-18,4207,QLD,AU2102731145293
2020-03-18,4170,QLD,AU2102767452237
2020-03-18,2156,NSW,AU2102774333517
2020-03-18,2500,NSW,AU2102780788813
2020-03-19,6107,WA,AU2102800187469
2020-03-19,5084,SA,AU2102808346701
2020-03-19,6112,WA,AU2102837870669
2020-03-19,2650,NSW,AU2102868541517
2020-03-19,2212,NSW,AU2102869721165
2020-03-19,4021,QLD,AU2102873260109
2020-03-19,2195,NSW,AU2102874505293
2020-03-19,2195,NSW,AU2102915465293
2020-03-19,4701,QLD,AU2102922412109
2020-03-19,2135,NSW,AU2103375953997
2020-03-19,2207,NSW,AU2103502929997
2020-03-19,4121,QLD,AU2103568072781
2020-03-19,2011,NSW,AU2103601070157
2020-03-19,2141,NSW,AU2103613882445
2020-03-19,2153,NSW,AU2103681548365
2020-03-19,3204,VIC,AU2103705600077
2020-03-19,2257,NSW,AU2103719559245
2020-03-19,2112,NSW,AU2103721721933
2020-03-19,4670,QLD,AU2103730602061
2020-03-19,5033,SA,AU2103731519565
2020-03-19,2233,NSW,AU2103789912141
2020-03-19,3108,VIC,AU2103801741389
2020-03-19,4121,QLD,AU2103832510541
2020-03-19,2145,NSW,AU2103866851405
2020-03-19,2064,NSW,AU2103901454413
2020-03-19,5073,SA,AU2103903584333
2020-03-19,3177,VIC,AU2103937138765
2020-03-19,6061,WA,AU2103959224397
2020-03-19,3175,VIC,AU2104040521805
2020-03-19,3141,VIC,AU2104051892301
2020-03-19,2165,NSW,AU2104052056141
2020-03-19,2148,NSW,AU2104058511437
2020-03-19,2212,NSW,AU2104128569421
2020-03-19,4124,QLD,AU2104138104909
2020-03-19,2156,NSW,AU2104218452045
2020-03-19,4121,QLD,AU2104221204557
2020-03-19,3630,VIC,AU2104248664141
2020-03-20,6055,WA,AU2104468930637
2020-03-20,7018,TAS,AU2104843763789
2020-03-20,3337,VIC,AU2105318604877
2020-03-20,2017,NSW,AU2105580060749
2020-03-20,4506,QLD,AU2105670926413
2020-03-20,6064,WA,AU2105719324749
2020-03-20,6011,WA,AU2105756254285
2020-03-20,2325,NSW,AU2105896697933
2020-03-20,3020,VIC,AU2105900564557
2020-03-20,2206,NSW,AU2105902923853
2020-03-20,4702,QLD,AU2105977503821
2020-03-21,6714,WA,AU2106100547661
2020-03-21,2161,NSW,AU2106649608269
2020-03-21,3142,VIC,AU2106687357005
2020-03-21,4053,QLD,AU2106815152205
2020-03-21,2911,ACT,AU2106930462797
2020-03-21,3644,NSW,AU2107153842253
2020-03-21,3037,VIC,AU2107169407053
2020-03-21,4165,QLD,AU2107251556429
2020-03-21,2228,NSW,AU2107258961997
2020-03-21,2620,NSW,AU2107382071373
2020-03-21,3202,VIC,AU2107413135437
2020-03-21,2204,NSW,AU2107463008333
2024-12-11,5113,SA,11360627097976
2024-12-11,2360,NSW,11364134355320
2024-12-13,5073,SA,11367797391736
2024-12-15,2518,NSW,11375132082552
2025-03-02,5086,SA,11580298723704
2025-03-03,6062,WA,11582270996856
2025-03-03,3175,VIC,11582608179576
2025-03-03,6065,WA,11582819238264
2025-03-03,5092,SA,11583180702072
2025-03-03,5093,SA,11583617466744
2020-05-11,2228,NSW,AU2243294560333
2020-05-11,3644,VIC,AU2243417735245
2020-05-12,4074,QLD,AU2243512172621
2020-05-12,2046,NSW,AU2243575971917
2020-05-12,6062,WA,AU2243633479757
2020-05-12,4220,QLD,AU2244473847885
2020-05-12,2155,NSW,AU2244802773069
2020-05-12,4879,QLD,AU2244994793549
2020-05-12,5008,SA,AU2245077991501
2020-05-12,4216,QLD,AU2245214896205
2020-05-12,2206,NSW,AU2245273387085
2020-05-12,3064,VIC,AU2245435883597
2020-05-12,4702,QLD,AU2245477695565
2020-05-12,2161,NSW,AU2245535137869
2020-05-12,2199,NSW,AU2245546410061
2020-05-12,2218,NSW,AU2245575147597
2020-05-12,2340,NSW,AU2245660966989
2020-05-12,7011,TAS,AU2245695406157
2020-05-12,4504,QLD,AU2245794529357
2020-05-12,2225,NSW,AU2245816189005
2020-05-12,2560,NSW,AU2245824577613
